batch_id,t1,t2,q1,t3,q2,t4,t5
16a73061-84dd-4ab4-817a-2b4027fd7d2f,2.246779,0.000076,0,0.084888,1,0.000297,2.051041
fa186f16-4ea5-4bb7-88c6-d9b83a8ef5ae,2.221278,0.000076,0,0.166800,1,0.000467,1.959172
fd2a86c4-e8c6-4cba-b1c8-bf3a2ded2100,2.251095,0.000113,0,0.094771,1,0.001005,1.947815
fd24483e-4ed9-4caf-b5f2-fc691e26882b,2.074863,0.000111,0,0.182542,1,0.000480,1.952862
b234122c-7957-45f6-9078-cfaba56afd8f,2.147102,0.000154,0,0.161337,1,0.000713,1.950432
d89f6c98-db57-4742-aae7-0ca47931c58c,2.138407,0.000086,0,0.080431,1,0.000457,1.849222
bc30cbb5-c1e4-42e1-b204-7c80b4442c62,2.151883,0.000111,0,0.082888,1,0.001100,1.951997
21907b9b-da7f-4faf-9ed7-36e9a8df18e7,2.183727,0.000099,0,0.067427,1,0.000690,1.901547
15edc261-4966-4500-9d25-09c2e96925c5,2.095964,0.000115,0,0.082689,1,0.002824,1.995394
9eb4d672-f4dd-4d25-b9e8-bb619693811b,2.184005,0.000076,0,0.078013,1,0.000585,1.970369
042ea089-d208-4487-a269-ad9f35843a19,2.201054,0.000070,0,0.101887,1,0.001020,1.912562
65ebefe7-9f7a-4b28-bd97-d5d0e2a6e3e7,2.157430,0.000083,0,0.082961,1,0.000908,1.995100
00acad11-c0aa-4007-88a7-fcf970a23584,2.147623,0.000205,0,0.084788,1,0.000485,1.973919
25799755-1c86-487f-aed9-6e60697ca35d,2.193031,0.000106,0,0.076733,1,0.002069,1.840133
e0d946d3-48ad-4666-b668-38b469b08b9d,2.144649,0.000109,0,0.087663,1,0.000690,1.963400
987019f3-8922-4196-857c-fd7e4df9099d,2.186382,0.000128,0,0.077393,1,0.000506,1.890176
5c2eeb33-675b-432a-9ab0-801ab6c07bd3,2.163635,0.000106,0,0.068655,1,0.000857,1.866812
e5fd1fb1-1765-4371-9aa5-1a41bd5ece73,2.124922,0.000098,0,0.076034,1,0.001035,1.952891
28c69baf-c55d-4353-ade1-77c3c27a84f9,2.082640,0.000098,0,0.088762,1,0.001051,1.975401
9588c4ec-41ec-4324-a6bf-bed9981950cf,2.103003,0.000112,0,0.146510,1,0.000685,1.933973
5f9f85ba-3eb8-46d0-9c13-e63319c4510c,2.034875,0.000077,0,0.152316,1,0.000505,1.926609
11fe1ffa-527b-4906-8293-1cc9b65ae83c,2.176897,0.000062,0,0.092125,1,0.001065,2.053582
42270bb8-f952-4bd4-bfe9-af8629ee1cd8,2.114621,0.000310,0,0.137506,1,0.000779,1.866573
8452eb38-2714-41e2-9f2b-ab6219ff9008,2.098669,0.000075,0,0.081301,1,0.001149,1.933343
cbcf2a6f-7de1-489c-9c41-4fafb1dd24fc,2.172514,0.000151,0,0.077532,1,0.000500,1.948130
abcdc53e-cd9f-469e-a114-f31231331a5d,2.165446,0.000086,0,0.072305,1,0.001017,1.882275
4aa6bc33-e07a-4f38-9878-e85e829198e6,2.030814,0.000764,0,0.088306,1,0.000343,1.952625
19d580b4-be15-4ac5-a7b1-c1661ca7640e,2.064170,0.000127,0,0.109291,1,0.001193,1.952978
d57681c8-6606-4230-9079-dad1784780b7,1.962306,0.000086,0,0.143656,1,0.000525,1.893314
c3e88127-f5bf-462f-94fc-8afd24b21bdf,1.998911,0.000361,0,0.163506,1,0.000785,1.885723
aa7544c7-93cc-4144-b1a6-f29a3e89bf17,1.850464,0.002265,0,0.083746,1,0.000480,1.946963
a6f885e2-ba81-45dc-aadf-4254cfc54ec3,2.075430,0.000076,0,0.134120,1,0.000733,1.840456
2169c822-caac-4322-bad6-41203e7b0e4d,1.987936,0.000060,0,0.109870,1,0.000483,1.970366
e39a8e32-4fae-44d6-987f-a4f749e59e43,2.147674,0.000091,0,0.088669,1,0.000467,1.987364
1e7378a5-7e0f-4c2e-a92d-8af20c46a536,1.985951,0.000078,0,0.144450,1,0.000853,1.889203
3edc9998-e95c-48c0-9956-165b347f13cd,2.003725,0.000882,0,0.169889,1,0.000874,1.968004
b8c0dc43-6035-4161-9083-b5b9e8e52bce,2.057997,0.000432,0,0.109118,1,0.000481,1.973600
750c57c2-cc8d-4ca3-ae2c-18704faa8a7e,2.045434,0.000097,0,0.092938,1,0.000942,1.989745
69183905-077a-4a46-8cfd-43518f3e889c,2.064926,0.000100,0,0.146877,1,0.000503,1.878772
1c7fc04b-d516-43ee-8017-246e6d36a79e,2.000407,0.000059,0,0.092082,1,0.001100,1.979568
5800e9cc-b5f7-422d-95db-ea900537ba56,2.070670,0.000116,0,0.195789,1,0.000478,1.977839
10183589-3d5e-4cff-836e-6ccba5f11f88,2.064348,0.000113,0,0.118905,1,0.000477,1.893666
86f57acf-7325-450c-b97b-6fc8bd96820c,2.105616,0.000600,0,0.163238,1,0.000469,1.872010
e1b7ae2a-06fe-47e6-8955-34f56566b9be,2.132894,0.000145,0,0.082819,1,0.001024,1.870867
069b790a-8a23-4b88-b583-6786de67231f,2.061531,0.000137,0,0.088919,1,0.000595,1.868941
981c1842-2fa8-47fe-a816-c8b58b740545,2.109826,0.000077,0,0.096496,1,0.000671,1.784021
5f0e1738-8e02-4eb0-9143-d6e8e26f70f3,1.995329,0.000062,0,0.100395,1,0.000458,1.877377
bffc8d2d-1a32-4ff1-8612-0a452cd05bf0,2.137023,0.000123,0,0.074428,1,0.000700,1.964515
e0b4f9ea-8946-48f8-8484-c7d7ece921fd,2.105028,0.000085,0,0.118989,1,0.000438,1.861735
4cc98c7e-5992-479f-9373-bbb09196fe19,2.054739,0.000087,0,0.089945,1,0.004444,1.982363
34a93e42-dd87-409a-b754-b6c8717893a5,2.015906,0.000745,0,0.097377,1,0.000449,1.903352
0ee9f6a3-1416-45b0-b1f2-f30651c3ecd1,1.961047,0.000095,0,0.108729,1,0.000687,1.886947
07e986eb-0bff-4bfc-8819-8b2320c11ce6,2.067631,0.000089,0,0.154566,1,0.000520,1.970490
e928515f-5aa8-4f0e-b537-8a3d2d1800c9,1.966949,0.000125,0,0.090367,1,0.000473,1.967549
cf52e537-0b7e-436b-b066-36b794500577,2.030347,0.000166,0,0.085840,1,0.001096,1.965693
92fdba3b-e97d-4a18-ae93-cf926609c305,1.973995,0.000089,0,0.160032,1,0.000461,1.899764
8e5539b0-bcb1-4daa-afe2-67bf0682c5a8,1.983814,0.000080,0,0.172655,1,0.000900,1.977699
1a175ced-e2d4-425e-8427-911e92ce8af5,2.053958,0.001050,0,0.091655,1,0.000510,1.961509
297155e3-e153-42b7-9276-6b77b259077d,2.064363,0.000986,0,0.142401,1,0.002691,1.992944
fc6a2459-bef1-44da-85ef-a856b4207dde,2.152101,0.000151,0,0.108710,1,0.000759,1.933041
ab731efe-3ba4-430c-8c34-b16dc06af9ab,2.120424,0.000132,0,0.144424,1,0.000728,1.851837
d0cb88d1-c85b-4942-8877-061443296f9c,1.931222,0.000074,0,0.109047,1,0.000475,1.857423
23374289-b903-4ea3-80e0-1f1d8644e078,1.938952,0.004172,0,0.104016,1,0.003714,1.965001
db4131fb-5353-4360-afe9-6e77d4b0c4a5,2.027313,0.000113,0,0.087538,1,0.002245,1.910743
d97f24d2-6e7e-45b4-8123-48b935205963,2.104549,0.000070,0,0.125321,1,0.000713,1.959802
b5d68428-dddf-4dd5-8648-c6cf5656f1d6,2.095153,0.000150,0,0.086913,1,0.000924,1.934659
27255513-0f09-4bd3-ae01-1f343770733e,2.116107,0.000075,0,0.104420,1,0.000462,1.961013
9d008c95-432b-459b-be07-de807497b9cd,2.125938,0.000185,0,0.087130,1,0.000679,1.867393
94b8c95a-009b-4c41-9ff0-f3d6ecc87212,2.142590,0.000069,0,0.067094,1,0.002798,1.901807
011711b3-4c51-4415-9c5d-ee9c2027e81d,2.116138,0.000951,0,0.078114,1,0.001309,1.949323
60b3442d-5952-490d-9c60-392cbbb4c0c3,2.112824,0.000076,0,0.081412,1,0.000448,1.968121
57c82870-d73a-49aa-a990-38a52d552e24,1.980319,0.000072,0,0.096208,1,0.000641,1.904887
61201d13-07b4-499c-89f9-1c899e02b769,2.041127,0.000120,0,0.103538,1,0.000707,1.960770
7b1f5cb6-363f-4bbb-9d0e-6a534fa9f80e,2.118526,0.000784,0,0.109256,1,0.000735,1.881871
9eb32f16-92d0-413f-8037-299a5a2b888d,2.087088,0.000077,0,0.100243,1,0.000442,1.795346
b68a6292-2f4e-42c2-be3b-58dc873eede4,2.069046,0.000124,0,0.084631,1,0.000867,1.887285
9892535d-b837-43ca-99dd-786cc26a107c,2.079330,0.000084,0,0.100739,1,0.000867,1.927892
77a14cf4-c5af-4942-96fd-e0cde2b1a1f3,2.070812,0.000075,0,0.167812,1,0.000649,1.890571
13ae1acc-30aa-4dc3-9209-711b37e1692c,2.035984,0.000070,0,0.115597,1,0.001012,2.008494
d644df92-b15e-49d9-a9ea-64a368a65c28,2.124861,0.000084,0,0.087961,1,0.000371,1.934697
0576ccdc-cbbe-46d1-855c-6f50e2270456,2.110001,0.000100,0,0.118948,1,0.001415,1.973261
a0ba04ce-e041-45c4-867a-a834891437e8,2.118025,0.000068,0,0.091218,1,0.000371,1.847849
9384abfa-3f26-472e-9a23-e0eef4ead4ba,2.128531,0.003042,0,0.072206,1,0.000712,1.956852
9921a2a0-fe2a-4bd2-b2a2-a6768f7ebd31,2.126319,0.000083,0,0.108244,1,0.000492,1.961490
126db228-4a51-4d48-86d8-1eecd6e4196d,2.040400,0.000098,0,0.089869,1,0.003372,2.013128
13164508-d763-4519-a854-a8aecf4fbfea,2.022612,0.000098,0,0.094568,1,0.000437,1.945130
9c131805-699b-4b4d-9152-738aa388d2b8,2.079963,0.000118,0,0.181648,1,0.000739,2.014292
cee3639d-cb52-4fd1-802b-6138fecbfce6,2.022326,0.000109,0,0.083550,1,0.000445,1.932721
ea83537b-eb78-4ae8-bb87-bb09c4342a80,2.121226,0.000055,0,0.108748,1,0.000756,1.892718
e5f030ed-e762-4477-b6c4-25c1077721fe,2.005055,0.000080,0,0.176264,1,0.000523,2.050355
5e44498c-c1ee-4f33-afbe-3a640c0ea20a,1.916043,0.000098,0,0.086473,1,0.041441,2.041139
33ea734a-27b5-49c5-a002-babbb37b2fa8,2.052588,0.000132,0,0.092377,1,0.000546,2.005841
bdcd5ee6-3dcb-410b-97e2-2392cb514d97,2.002457,0.000082,0,0.149996,1,0.000495,1.843391
8780bb49-22bc-4dfc-ad97-5f6d483b2bb8,2.150027,0.000107,0,0.094299,1,0.000847,1.985751
f74c27e7-0526-442a-9211-5ab98b32ac5f,2.134679,0.000101,0,0.106146,1,0.000442,1.926711
ea04a3ba-d5c4-48e2-beb1-cf1134c1b4f1,2.165137,0.000112,0,0.093343,1,0.000669,1.938361
070f2ee0-7ee5-422d-ab3e-6353984ceade,2.157450,0.000106,0,0.071680,1,0.000454,1.965000
2ddfba51-36c0-408b-83a7-e79585f4c54d,2.043945,0.000306,0,0.166474,1,0.002676,1.976699
c964362d-ec44-42ce-a0ad-b0211c224ca3,2.109173,0.000106,0,0.124788,1,0.000484,1.870929
489302e7-fe02-45ab-8284-062c379034f1,2.077373,0.000099,0,0.097135,1,0.000677,1.964199
ca7527ab-ea48-44cf-aaf8-f38f9457678a,2.140055,0.000180,0,0.110708,1,0.002264,1.896241
32171b29-1216-4a3b-ac5a-36273609bf0b,2.076461,0.000150,0,0.092208,1,0.001038,1.883914
90a2269c-dde7-475b-bb11-7c21f162fa38,2.084984,0.000080,0,0.099139,1,0.000439,1.877230
8e3276eb-11b4-41a6-9fda-e7c57253d322,2.129884,0.000075,0,0.087756,1,0.001180,1.874486
e0a39ea5-c6da-4efb-8474-92c35142e4e8,1.994236,0.000089,0,0.089118,1,0.001716,1.926705
186e59ef-81ee-42aa-b1f0-d06c0d586965,2.081243,0.000152,0,0.173030,1,0.001934,2.146168
e0487926-240a-4b7e-b358-34bf415b02df,1.939531,0.000154,0,0.084534,1,0.001393,2.058340
